SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,IOTA,MIOTA,14-06-2017 23:59,0.606195986,0.495745003,0.592347026,0.528916001,14194900,1470138039
2,IOTA,MIOTA,15-06-2017 23:59,0.543165028,0.300365001,0.528284013,0.363660991,10300400,1010806762
3,IOTA,MIOTA,16-06-2017 23:59,0.448249012,0.309852004,0.353285015,0.410757005,6920690,1141711520
4,IOTA,MIOTA,17-06-2017 23:59,0.444204986,0.414139003,0.426762015,0.41990599,3100660,1167141443
5,IOTA,MIOTA,18-06-2017 23:59,0.426068991,0.393790007,0.420596987,0.405862004,2514450,1128105720
6,IOTA,MIOTA,19-06-2017 23:59,0.42098999,0.388231009,0.405456007,0.412182987,3543640,1145675131
7,IOTA,MIOTA,20-06-2017 23:59,0.422031999,0.398649007,0.414299011,0.418493986,3755470,1163216746
8,IOTA,MIOTA,21-06-2017 23:59,0.437339991,0.405036986,0.419438988,0.413547009,3999810,1149466410
9,IOTA,MIOTA,22-06-2017 23:59,0.427282989,0.407261014,0.413370997,0.417742014,2343320,1161126539
10,IOTA,MIOTA,23-06-2017 23:59,0.480910003,0.408405006,0.417769015,0.480910003,3768560,1336703908
11,IOTA,MIOTA,24-06-2017 23:59,0.635612011,0.482769012,0.482769012,0.512910008,19215500,1425648877
12,IOTA,MIOTA,25-06-2017 23:59,0.525564015,0.454950988,0.514185011,0.470941007,5012890,1308994771
13,IOTA,MIOTA,26-06-2017 23:59,0.473661989,0.351155996,0.470191985,0.402438015,9101080,1118588608
14,IOTA,MIOTA,27-06-2017 23:59,0.420035005,0.353549004,0.411989003,0.392268986,4411090,1090323565
15,IOTA,MIOTA,28-06-2017 23:59,0.399874002,0.357338011,0.399874002,0.379135996,4704400,1053819993
16,IOTA,MIOTA,29-06-2017 23:59,0.459387004,0.361568004,0.375766993,0.417798012,5324020,1161282193
17,IOTA,MIOTA,30-06-2017 23:59,0.453007996,0.398194999,0.417167008,0.401591003,5044270,1116234346
18,IOTA,MIOTA,01-07-2017 23:59,0.414191991,0.381489009,0.402294993,0.38962999,2334640,1082988384
19,IOTA,MIOTA,02-07-2017 23:59,0.396890014,0.366798013,0.391880006,0.382248998,2971770,1062472671
20,IOTA,MIOTA,03-07-2017 23:59,0.384954989,0.356023997,0.379054993,0.376138985,3873180,1045489741
21,IOTA,MIOTA,04-07-2017 23:59,0.410697997,0.373865008,0.374900013,0.396389991,3933710,1101778009
22,IOTA,MIOTA,05-07-2017 23:59,0.400840998,0.371809006,0.396272987,0.380129993,3061100,1056582846
23,IOTA,MIOTA,06-07-2017 23:59,0.382865012,0.317295015,0.380252987,0.353879988,8218370,983620176.5
24,IOTA,MIOTA,07-07-2017 23:59,0.355993986,0.27185899,0.355803013,0.284565002,8804780,790957035
25,IOTA,MIOTA,08-07-2017 23:59,0.32090801,0.281392992,0.286163986,0.305514991,3273950,849188194.4
26,IOTA,MIOTA,09-07-2017 23:59,0.312770009,0.285474986,0.29737699,0.302888989,2474500,841889147.9
27,IOTA,MIOTA,10-07-2017 23:59,0.304475993,0.190539002,0.304475993,0.217060998,8233640,603327622.8
28,IOTA,MIOTA,11-07-2017 23:59,0.231573999,0.185681,0.214742005,0.187595993,6946200,521428763
29,IOTA,MIOTA,12-07-2017 23:59,0.237361997,0.183954999,0.191125005,0.228758007,4646480,635839788.5
30,IOTA,MIOTA,13-07-2017 23:59,0.238625005,0.194249004,0.229099005,0.214589,4129150,596456623.9
31,IOTA,MIOTA,14-07-2017 23:59,0.214111999,0.161877006,0.212999001,0.175349995,3347860,487390635.1
32,IOTA,MIOTA,15-07-2017 23:59,0.176099002,0.147933006,0.175237,0.158687994,3913220,441078101.5
33,IOTA,MIOTA,16-07-2017 23:59,0.185444996,0.155173004,0.157960996,0.180978,4178170,503033831.6
34,IOTA,MIOTA,17-07-2017 23:59,0.278088003,0.179113999,0.180717006,0.263105005,15254300,731308315.1
35,IOTA,MIOTA,18-07-2017 23:59,0.309576988,0.248753995,0.264569014,0.267340004,11433600,743079625.9
36,IOTA,MIOTA,19-07-2017 23:59,0.284031004,0.230685994,0.268162012,0.232212007,6339730,645440286.1
37,IOTA,MIOTA,20-07-2017 23:59,0.298253,0.232191995,0.233502999,0.292459995,10332500,812901426.6
38,IOTA,MIOTA,21-07-2017 23:59,0.305505991,0.257625997,0.294759989,0.26413399,6344870,734168451.8
39,IOTA,MIOTA,22-07-2017 23:59,0.278935999,0.254406005,0.263390005,0.273382008,4107430,759873547.8
40,IOTA,MIOTA,23-07-2017 23:59,0.280241013,0.258484989,0.273692995,0.269071996,3065860,747893772.3
41,IOTA,MIOTA,24-07-2017 23:59,0.273467988,0.242731005,0.265136003,0.266447008,4502060,740597505.3
42,IOTA,MIOTA,25-07-2017 23:59,0.269071996,0.237997994,0.266826987,0.250452995,2917500,696141698
43,IOTA,MIOTA,26-07-2017 23:59,0.283477992,0.241237,0.250571012,0.274598002,4626790,763253456.7
44,IOTA,MIOTA,27-07-2017 23:59,0.285551012,0.275467008,0.276849985,0.275467008,3343540,765668868.5
45,IOTA,MIOTA,28-07-2017 23:59,0.278459013,0.262735993,0.274875998,0.265118003,2884740,736903509.6
46,IOTA,MIOTA,29-07-2017 23:59,0.277226001,0.245848,0.266566992,0.275189996,2788270,764898938.6
47,IOTA,MIOTA,30-07-2017 23:59,0.279401004,0.252831012,0.277339011,0.254785001,3165840,708182623.2
48,IOTA,MIOTA,31-07-2017 23:59,0.259810001,0.245767996,0.255064011,0.254732013,2563820,708035308
49,IOTA,MIOTA,01-08-2017 23:59,0.296267003,0.249623001,0.256664991,0.290219992,5169910,806675278.7
50,IOTA,MIOTA,02-08-2017 23:59,0.293038994,0.272031993,0.290134996,0.286116004,3439800,795268086.5
51,IOTA,MIOTA,03-08-2017 23:59,0.336843997,0.284765005,0.286578,0.332352012,8239810,923782448.6
52,IOTA,MIOTA,04-08-2017 23:59,0.420251995,0.332239002,0.332239002,0.391285986,20179000,1087591286
53,IOTA,MIOTA,05-08-2017 23:59,0.427798003,0.364082992,0.393175989,0.407979995,9091140,1133992765
